chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,n_chunks_in_speech,relative_position,token_count,word_count,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,past_orientation_cos,past_orientation_cos_en,past_orientation_pct,past_orientation_rel,future_orientation_cos,future_orientation_cos_en,future_orientation_pct,future_orientation_rel,us_vs_them_cos,us_vs_them_cos_en,us_vs_them_pct,us_vs_them_rel,gratitude_recognition_cos,gratitude_recognition_cos_en,gratitude_recognition_pct,gratitude_recognition_rel,promises_commitments_cos,promises_commitments_cos_en,promises_commitments_pct,promises_commitments_rel,top_theme_emb,top_theme_margin,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,past_orientation_nli,future_orientation_nli,us_vs_them_nli,gratitude_recognition_nli,promises_commitments_nli,top_theme_nli
erdogan1_c000,erdogan1,erdogan,en,,symposium_speech,0,10,0.0,80,70,0.2389195,0.2389195,0.318,-0.047753185,0.0,0.21931803,0.21931803,0.226,-0.05208394,0.0,0.1645241,0.1645241,0.074,-0.092113,0.0,0.31619474,0.31619474,0.802,0.05417466,0.0,0.35359544,0.35359544,0.906,0.10741581,0.0,0.18895108,0.18895108,0.086,-0.11284238,0.0,0.27696592,0.27696592,0.278,-0.04206863,0.0,0.36364418,0.36364418,0.802,0.07030198,0.0,0.22504173,0.22504173,0.314,-0.038260207,0.25921655,0.25921655,0.158,-0.07456282,0.3208567,0.3208567,0.614,0.022536695,0.32111222,0.32111222,0.49,-0.01453957,0.22739343,0.22739343,0.286,-0.04338588,0.25687474,0.25687474,0.294,-0.06458557,0.33376503,0.33376503,0.526,0.0054470897,democracy_institutions,0.10400003,0.92708737,0.0026470982,0.0007839426,0.9845011,0.40250957,0.07814848,0.03204008,0.005511934,0.0006130294,0.066629894,0.99574363,0.9540946,0.09951397,0.997915,0.24476895,foreign_policy
erdogan1_c001,erdogan1,erdogan,en,,symposium_speech,1,10,0.111,118,97,0.30574805,0.30574805,0.622,0.019075364,0.0,0.2319021,0.2319021,0.338,-0.03949988,2.0618556,0.16582769,0.16582769,0.082,-0.090809405,1.0309278,0.25553522,0.25553522,0.498,-0.006484866,2.0618556,0.32802108,0.32802108,0.838,0.081841454,1.0309278,0.20012951,0.20012951,0.11,-0.10166395,0.0,0.31672233,0.31672233,0.494,-0.0023122132,0.0,0.2545146,0.2545146,0.318,-0.038827598,0.0,0.23465535,0.23465535,0.37,-0.028646588,0.28304648,0.28304648,0.274,-0.05073288,0.34917843,0.34917843,0.806,0.050858438,0.24071342,0.24071342,0.146,-0.09493837,0.25768512,0.25768512,0.454,-0.013094187,0.26218235,0.26218235,0.31,-0.05927795,0.24644995,0.24644995,0.134,-0.08186799,democracy_institutions,0.21600002,0.8859772,0.008881676,0.00032694527,0.954584,0.44939262,0.6032309,0.4882834,0.00016474658,0.6397589,0.011630993,0.998772,0.00109019,0.9310875,0.99113554,0.92603666,foreign_policy
erdogan1_c002,erdogan1,erdogan,en,,symposium_speech,2,10,0.222,139,118,0.19231868,0.19231868,0.146,-0.094354,0.84745765,0.24459094,0.24459094,0.414,-0.026811033,0.84745765,0.21305984,0.21305984,0.318,-0.043577254,0.84745765,0.22466835,0.22466835,0.274,-0.037351727,0.0,0.41967553,0.41967553,0.974,0.1734959,0.84745765,0.20190676,0.20190676,0.122,-0.0998867,0.0,0.30535054,0.30535054,0.41,-0.013684005,0.84745765,0.26524478,0.26524478,0.414,-0.02809742,0.0,0.24867852,0.24867852,0.462,-0.014623418,0.24186127,0.24186127,0.11,-0.091918096,0.2521075,0.2521075,0.266,-0.046212494,0.25701156,0.25701156,0.19,-0.07864022,0.22145768,0.22145768,0.258,-0.049321637,0.19448626,0.19448626,0.09,-0.12697405,0.31995443,0.31995443,0.43,-0.008363515,democracy_institutions,0.55999994,0.91212356,0.55892897,0.0024343822,0.81819266,0.98648083,0.66334194,0.99335885,0.00025865273,0.0030072695,0.0079456875,0.9548373,0.99876004,0.99749345,0.24278861,0.9899767,crisis_resilience
erdogan1_c003,erdogan1,erdogan,en,,symposium_speech,3,10,0.333,152,128,0.30100977,0.30100977,0.594,0.014337093,1.5625,0.24883242,0.24883242,0.426,-0.022569552,0.0,0.18957663,0.18957663,0.19,-0.06706047,0.0,0.2718285,0.2718285,0.606,0.009808421,0.0,0.38270187,0.38270187,0.934,0.13652225,0.78125,0.22411293,0.22411293,0.21,-0.07768053,0.78125,0.3255342,0.3255342,0.582,0.006499648,0.0,0.32878813,0.32878813,0.702,0.03544593,0.0,0.29316235,0.29316235,0.65,0.029860407,0.2776575,0.2776575,0.246,-0.056121856,0.34057647,0.34057647,0.742,0.042256474,0.30921143,0.30921143,0.398,-0.026440352,0.28042588,0.28042588,0.586,0.009646565,0.22862154,0.22862154,0.166,-0.092838764,0.30542207,0.30542207,0.362,-0.022895873,democracy_institutions,0.232,0.8945594,0.021044564,0.0011786722,0.6265241,0.5480689,0.4764579,0.6477704,0.0013723688,0.0010505168,0.49346963,0.97754294,0.007922628,0.12543988,0.6778473,0.037082024,national_identity
erdogan1_c004,erdogan1,erdogan,en,,symposium_speech,4,10,0.444,96,88,0.2414775,0.2414775,0.35,-0.045195177,2.2727273,0.26852083,0.26852083,0.546,-0.0028811395,0.0,0.24939719,0.24939719,0.55,-0.007239908,0.0,0.23348415,0.23348415,0.342,-0.028535932,0.0,0.50471836,0.50471836,0.998,0.25853872,1.1363636,0.28707278,0.28707278,0.434,-0.014720678,1.1363636,0.35840818,0.35840818,0.758,0.039373636,0.0,0.28322577,0.28322577,0.518,-0.010116428,0.0,0.2388024,0.2388024,0.398,-0.024499536,0.2872165,0.2872165,0.306,-0.04656285,0.27687883,0.27687883,0.398,-0.021441162,0.29396856,0.29396856,0.322,-0.041683227,0.26789933,0.26789933,0.506,-0.0028799772,0.2736271,0.2736271,0.37,-0.047833204,0.36030626,0.36030626,0.662,0.031988323,democracy_institutions,0.24000001,0.97764987,0.0012448432,0.0003150387,0.93987197,0.9945519,0.9911868,0.4829168,0.0002617008,0.0006667022,0.06681232,0.34834027,0.984276,0.87525487,0.26090702,0.99937123,democracy_institutions
erdogan1_c005,erdogan1,erdogan,en,,symposium_speech,5,10,0.556,96,78,0.19518837,0.19518837,0.154,-0.09148431,1.2820513,0.1998283,0.1998283,0.142,-0.071573675,0.0,0.17845102,0.17845102,0.13,-0.07818608,0.0,0.2632391,0.2632391,0.558,0.0012190044,0.0,0.39320967,0.39320967,0.954,0.14703004,2.5641026,0.18666767,0.18666767,0.078,-0.11512579,0.0,0.24493118,0.24493118,0.114,-0.07410337,0.0,0.3445501,0.3445501,0.738,0.0512079,0.0,0.2734785,0.2734785,0.582,0.010176569,0.2270159,0.2270159,0.07,-0.10676347,0.2781194,0.2781194,0.41,-0.02020061,0.33901215,0.33901215,0.546,0.0033603609,0.24745892,0.24745892,0.394,-0.023320392,0.20214824,0.20214824,0.114,-0.11931206,0.31923738,0.31923738,0.426,-0.009080559,democracy_institutions,0.21600002,0.077762425,0.18297236,0.0009290033,0.9379822,0.9692224,0.012722707,0.40822467,9.685608e-05,0.00074953143,0.00042140938,0.99882597,0.004690933,0.9928509,0.0011890647,0.9325762,democracy_institutions
erdogan1_c006,erdogan1,erdogan,en,,symposium_speech,6,10,0.667,106,88,0.2740459,0.2740459,0.494,-0.012626767,1.1363636,0.22406304,0.22406304,0.258,-0.047338933,0.0,0.18207906,0.18207906,0.154,-0.074558035,0.0,0.19430336,0.19430336,0.15,-0.06771672,0.0,0.38398358,0.38398358,0.942,0.13780396,1.1363636,0.2988639,0.2988639,0.478,-0.0029295683,0.0,0.24896994,0.24896994,0.142,-0.070064604,0.0,0.32138726,0.32138726,0.67,0.028045058,0.0,0.26912415,0.26912415,0.55,0.0058222115,0.29751903,0.29751903,0.346,-0.036260337,0.24857378,0.24857378,0.254,-0.049746215,0.3298325,0.3298325,0.514,-0.005819291,0.28079724,0.28079724,0.594,0.010017931,0.26293498,0.26293498,0.318,-0.058525324,0.38009864,0.38009864,0.754,0.0517807,democracy_institutions,0.27199996,0.78282857,0.07863355,0.00049264234,0.5239075,0.91000706,0.9301416,0.23185325,0.00012053648,0.00035976942,0.046464663,0.047602657,0.0005647764,0.760584,0.16221407,0.25902826,social_solidarity
erdogan1_c007,erdogan1,erdogan,en,,symposium_speech,7,10,0.778,84,74,0.3135267,0.3135267,0.65,0.026854008,5.4054055,0.23957235,0.23957235,0.39,-0.031829625,0.0,0.21090072,0.21090072,0.302,-0.045736372,0.0,0.26508695,0.26508695,0.574,0.0030668676,0.0,0.43002146,0.43002146,0.978,0.18384184,0.0,0.28179055,0.28179055,0.398,-0.020002902,0.0,0.29419082,0.29419082,0.33,-0.024843723,0.0,0.24784786,0.24784786,0.298,-0.045494348,0.0,0.23286794,0.23286794,0.362,-0.030433998,0.25156683,0.25156683,0.138,-0.08221254,0.2211465,0.2211465,0.126,-0.0771735,0.2730059,0.2730059,0.238,-0.06264588,0.32058197,0.32058197,0.754,0.04980266,0.315361,0.315361,0.502,-0.0060993135,0.3746712,0.3746712,0.722,0.04635325,democracy_institutions,0.328,0.9576556,0.640411,0.050424073,0.7801604,0.9967713,0.86861795,0.09773432,0.07098909,0.003279443,0.5341265,0.4956056,0.87541467,0.255158,0.0004637128,0.9987576,democracy_institutions
erdogan1_c008,erdogan1,erdogan,en,,symposium_speech,8,10,0.889,84,68,0.2263427,0.2263427,0.266,-0.06032999,2.9411764,0.24353734,0.24353734,0.41,-0.027864635,0.0,0.15585902,0.15585902,0.066,-0.10077807,0.0,0.28526723,0.28526723,0.674,0.023247153,0.0,0.37418944,0.37418944,0.926,0.12800981,0.0,0.20100188,0.20100188,0.118,-0.10079157,0.0,0.24260262,0.24260262,0.098,-0.07643193,0.0,0.26193666,0.26193666,0.378,-0.03140554,0.0,0.2124066,0.2124066,0.234,-0.050895333,0.19583732,0.19583732,0.018,-0.13794205,0.20680684,0.20680684,0.09,-0.09151316,0.28482655,0.28482655,0.282,-0.05082524,0.2741766,0.2741766,0.522,0.003397286,0.2566778,0.2566778,0.29,-0.0647825,0.36574107,0.36574107,0.69,0.037423134,democracy_institutions,0.25199997,0.893936,0.6013595,0.14572215,0.9011187,0.99574363,0.8960241,0.060031526,0.48389235,0.0011559009,0.65786827,0.27727726,0.9915462,0.79318607,0.10699346,0.99718267,democracy_institutions
erdogan1_c009,erdogan1,erdogan,en,,symposium_speech,9,10,1.0,109,95,0.23108107,0.23108107,0.286,-0.055591613,2.1052632,0.20309891,0.20309891,0.15,-0.06830306,0.0,0.21157664,0.21157664,0.31,-0.045060456,0.0,0.22314659,0.22314659,0.254,-0.038873494,0.0,0.38227293,0.38227293,0.93,0.1360933,3.1578948,0.20316227,0.20316227,0.134,-0.09863119,0.0,0.2131437,0.2131437,0.022,-0.10589084,0.0,0.29824954,0.29824954,0.57,0.00490734,0.0,0.19522524,0.19522524,0.158,-0.0680767,0.26482883,0.26482883,0.186,-0.068950534,0.20040761,0.20040761,0.078,-0.097912386,0.3368311,0.3368311,0.542,0.0011793077,0.2501688,0.2501688,0.406,-0.020610511,0.2432921,0.2432921,0.218,-0.07816821,0.39616978,0.39616978,0.806,0.06785184,democracy_institutions,0.36,0.98293835,0.014111099,0.109562784,0.43878517,0.99913234,0.16411418,0.023531878,0.22867285,0.0017274587,0.26459584,0.14926767,0.8664559,0.014461763,0.19512397,0.9712384,democracy_institutions
